"Measure","Source","Time","Geography","Geography_code","Ethnicity","Ethnicity_type","Regional Population","Ethnic Population","Total Ethnic Population","Value1","Value1_type","Value2","Value2_type"
"Population by Ethnicity and Local Authority","Census","2021","South East","E12000008","Gypsy Or Irish Traveller","ONS 2021 19+1","9278064","16747","67757","0.2","% of region","24.71626548","% of ethnic group"
"Population by Ethnicity and Local Authority","Census","2021","South East","E12000008","Roma","ONS 2021 19+1","9278064","12777","100964","0.1","% of region","12.65500574","% of ethnic group"
"Population by Ethnicity and Local Authority","Census","2021","South East","E12000008","White","ONS 2021 5+1","9278064","8009377","48699231","86.3","% of region","16.4","% of ethnic group"
"Population by Ethnicity and Local Authority","Census","2021","South East","E12000008","White Irish","ONS 2021 19+1","9278064","78220","507473","0.8","% of region","15.4","% of ethnic group"
"Population by Ethnicity and Local Authority","Census","2021","East Midlands","E12000004","Any Other White Background","ONS 2021 19+1","4880049","258437","3667993","5.3","% of region","7.0","% of ethnic group"
"Population by Ethnicity and Local Authority","Census","2021","South East","E12000008","Other","ONS 2021 5+1","9278064","135693","1255632","1.5","% of region","10.8","% of ethnic group"
"Population by Ethnicity and Local Authority","Census","2021","South East","E12000008","Arab","ONS 2021 19+1","9278064","29578","331856","0.3","% of region","8.912901982","% of ethnic group"
"Population by Ethnicity and Local Authority","Census","2021","South East","E12000008","Any Other Ethnic Background","ONS 2021 19+1","9278064","106115","923776","1.1","% of region","11.48709211","% of ethnic group"
"Population by Ethnicity and Local Authority","Census","2021","South West","E12000009","All","All","5701177","5701177","59597578","100.0","% of region","9.566121966","% of ethnic group"
"Population by Ethnicity and Local Authority","Census","2021","Yorkshire and The Humber","E12000003","Asian","ONS 2021 5+1","5480783","487061","5515455","8.9","% of region","8.8","% of ethnic group"
"Population by Ethnicity and Local Authority","Census","2021","South West","E12000009","Bangladeshi","ONS 2021 19+1","5701177","12219","644900","0.2","% of region","1.894712359","% of ethnic group"
"Population by Ethnicity and Local Authority","Census","2021","South West","E12000009","Chinese","ONS 2021 19+1","5701177","26514","445646","0.5","% of region","5.94956535","% of ethnic group"
"Population by Ethnicity and Local Authority","Census","2021","South West","E12000009","Indian","ONS 2021 19+1","5701177","58845","1864304","1.0","% of region","3.156405822","% of ethnic group"
"Population by Ethnicity and Local Authority","Census","2021","South West","E12000009","Pakistani","ONS 2021 19+1","5701177","17431","1587822","0.3","% of region","1.1","% of ethnic group"
"Population by Ethnicity and Local Authority","Census","2021","South West","E12000009","Any Other Asian Background","ONS 2021 19+1","5701177","44174","972783","0.8","% of region","4.540992184","% of ethnic group"
"Population by Ethnicity and Local Authority","Census","2021","East of England","E12000006","Black","ONS 2021 5+1","6335075","184956","2409283","2.9","% of region","7.7","% of ethnic group"
"Population by Ethnicity and Local Authority","Census","2021","South West","E12000009","Black African","ONS 2021 19+1","5701177","43320","1488387","0.8","% of region","2.910533349","% of ethnic group"
"Population by Ethnicity and Local Authority","Census","2021","South West","E12000009","Black Caribbean","ONS 2021 19+1","5701177","17224","623115","0.3","% of region","2.764176757","% of ethnic group"
"Population by Ethnicity and Local Authority","Census","2021","South West","E12000009","Any Other Black Background","ONS 2021 19+1","5701177","9066","297781","0.2","% of region","3.044519294","% of ethnic group"
"Population by Ethnicity and Local Authority","Census","2021","East of England","E12000006","Mixed","ONS 2021 5+1","6335075","179658","1717977","2.8","% of region","10.5","% of ethnic group"
"Population by Ethnicity and Local Authority","Census","2021","South West","E12000009","Mixed White And Asian","ONS 2021 19+1","5701177","34961","488228","0.6","% of region","7.160793728","% of ethnic group"
"Population by Ethnicity and Local Authority","Census","2021","South West","E12000009","Mixed White And Black African","ONS 2021 19+1","5701177","15645","249593","0.3","% of region","6.268204637","% of ethnic group"
"Population by Ethnicity and Local Authority","Census","2021","South West","E12000009","Mixed White And Black Caribbean","ONS 2021 19+1","5701177","33221","513040","0.6","% of region","6.475323562","% of ethnic group"
"Population by Ethnicity and Local Authority","Census","2021","South West","E12000009","Any Other Mixed/Multiple Ethnic Background","ONS 2021 19+1","5701177","30254","467116","0.5","% of region","6.476763802","% of ethnic group"
"Population by Ethnicity and Local Authority","Census","2021","South West","E12000009","Other","ONS 2021 5+1","5701177","48701","1255632","0.9","% of region","3.9","% of ethnic group"
"Population by Ethnicity and Local Authority","Census","2021","South West","E12000009","Gypsy Or Irish Traveller","ONS 2021 19+1","5701177","6380","67757","0.1","% of region","9.416001299","% of ethnic group"
"Population by Ethnicity and Local Authority","Census","2021","South West","E12000009","Roma","ONS 2021 19+1","5701177","5781","100964","0.1","% of region","5.725803257","% of ethnic group"
"Population by Ethnicity and Local Authority","Census","2021","All - England And Wales","K04000001","Any Other White Background","ONS 2021 19+1","59597578","3667993","3667993","6.2","% of region","100","% of ethnic group"
"Population by Ethnicity and Local Authority","Census","2021","South West","E12000009","White Irish","ONS 2021 19+1","5701177","31695","507473","0.6","% of region","6.2","% of ethnic group"
"Population by Ethnicity and Local Authority","Census","2021","South West","E12000009","White British","ONS 2021 19+1","5701177","5008153","44355044","87.8","% of region","11.29105632","% of ethnic group"
"Population by Ethnicity and Local Authority","Census","2021","South West","E12000009","White","ONS 2021 5+1","5701177","5309602","48699231","93.1","% of region","10.9","% of ethnic group"
"Population by Ethnicity and Local Authority","Census","2021","South West","E12000009","Arab","ONS 2021 19+1","5701177","10300","331856","0.2","% of region","3.103755846","% of ethnic group"
"Population by Ethnicity and Local Authority","Census","2021","South West","E12000009","Any Other Ethnic Background","ONS 2021 19+1","5701177","38401","923776","0.7","% of region","4.156960129","% of ethnic group"
"Population by Ethnicity and Local Authority","Census","2021","Wales","W92000004","All","All","3107513","3107513","59597578","100.0","% of region","5.214159877","% of ethnic group"
"Population by Ethnicity and Local Authority","Census","2021","All - England And Wales","K04000001","Asian","ONS 2021 5+1","59597578","5515455","5515455","9.3","% of region","100.0","% of ethnic group"
"Population by Ethnicity and Local Authority","Census","2021","Wales","W92000004","Bangladeshi","ONS 2021 19+1","3107513","15317","644900","0.5","% of region","2.375096914","% of ethnic group"
"Population by Ethnicity and Local Authority","Census","2021","Wales","W92000004","Chinese","ONS 2021 19+1","3107513","14458","445646","0.5","% of region","3.244279091","% of ethnic group"
"Population by Ethnicity and Local Authority","Census","2021","Wales","W92000004","Indian","ONS 2021 19+1","3107513","21066","1864304","0.7","% of region","1.129965928","% of ethnic group"
"Population by Ethnicity and Local Authority","Census","2021","Wales","W92000004","Pakistani","ONS 2021 19+1","3107513","17535","1587822","0.6","% of region","1.1","% of ethnic group"
"Population by Ethnicity and Local Authority","Census","2021","Wales","W92000004","Any Other Asian Background","ONS 2021 19+1","3107513","20656","972783","0.7","% of region","2.12339237","% of ethnic group"
"Population by Ethnicity and Local Authority","Census","2021","All - England And Wales","K04000001","Black","ONS 2021 5+1","59597578","2409283","2409283","4.0","% of region","100.0","% of ethnic group"
"Population by Ethnicity and Local Authority","Census","2021","Wales","W92000004","Black African","ONS 2021 19+1","3107513","19909","1488387","0.6","% of region","1.33762254","% of ethnic group"
"Population by Ethnicity and Local Authority","Census","2021","Wales","W92000004","Black Caribbean","ONS 2021 19+1","3107513","3700","623115","0.1","% of region","0.5937908733","% of ethnic group"
"Population by Ethnicity and Local Authority","Census","2021","Wales","W92000004","Any Other Black Background","ONS 2021 19+1","3107513","3952","297781","0.1","% of region","1.327149818","% of ethnic group"
"Population by Ethnicity and Local Authority","Census","2021","All - England And Wales","K04000001","Mixed","ONS 2021 5+1","59597578","1717977","1717977","2.9","% of region","100.0","% of ethnic group"
"Population by Ethnicity and Local Authority","Census","2021","Wales","W92000004","Mixed White And Asian","ONS 2021 19+1","3107513","14036","488228","0.5","% of region","2.874886324","% of ethnic group"
"Population by Ethnicity and Local Authority","Census","2021","Wales","W92000004","Mixed White And Black African","ONS 2021 19+1","3107513","8070","249593","0.3","% of region","3.233263753","% of ethnic group"
"Population by Ethnicity and Local Authority","Census","2021","Wales","W92000004","Mixed White And Black Caribbean","ONS 2021 19+1","3107513","13734","513040","0.4","% of region","2.676984251","% of ethnic group"
"Population by Ethnicity and Local Authority","Census","2021","Wales","W92000004","Any Other Mixed/Multiple Ethnic Background","ONS 2021 19+1","3107513","12762","467116","0.4","% of region","2.732083679","% of ethnic group"
"Population by Ethnicity and Local Authority","Census","2021","Wales","W92000004","Other","ONS 2021 5+1","3107513","26466","1255632","0.9","% of region","2.1","% of ethnic group"
"Population by Ethnicity and Local Authority","Census","2021","Wales","W92000004","Gypsy Or Irish Traveller","ONS 2021 19+1","3107513","3552","67757","0.1","% of region","5.242262792","% of ethnic group"
"Population by Ethnicity and Local Authority","Census","2021","Wales","W92000004","Roma","ONS 2021 19+1","3107513","1842","100964","0.1","% of region","1.824412662","% of ethnic group"
"Population by Ethnicity and Local Authority","Census","2021","South East","E12000008","Any Other White Background","ONS 2021 19+1","9278064","586572","3667993","6.3","% of region","16.0","% of ethnic group"
"Population by Ethnicity and Local Authority","Census","2021","Wales","W92000004","White Irish","ONS 2021 19+1","3107513","13216","507473","0.4","% of region","2.6","% of ethnic group"
"Population by Ethnicity and Local Authority","Census","2021","Wales","W92000004","White British","ONS 2021 19+1","3107513","2814248","44355044","90.6","% of region","6.34482067","% of ethnic group"
"Population by Ethnicity and Local Authority","Census","2021","Wales","W92000004","White","ONS 2021 5+1","3107513","2915852","48699231","93.8","% of region","6.0","% of ethnic group"
"Population by Ethnicity and Local Authority","Census","2021","Wales","W92000004","Arab","ONS 2021 19+1","3107513","11641","331856","0.4","% of region","3.507846777","% of ethnic group"
"Population by Ethnicity and Local Authority","Census","2021","Wales","W92000004","Any Other Ethnic Background","ONS 2021 19+1","3107513","14825","923776","0.5","% of region","1.604826278","% of ethnic group"
"Population by Ethnicity and Local Authority","Census","2021","West Midlands","E12000005","All","All","5950768","5950768","59597578","100.0","% of region","9.98491583","% of ethnic group"
"Population by Ethnicity and Local Authority","Census","2021","West Midlands","E12000005","White British","ONS 2021 19+1","5950768","4275558","44355044","71.8","% of region","9.63939524","% of ethnic group"
"Population by Ethnicity and Local Authority","Census","2021","West Midlands","E12000005","Bangladeshi","ONS 2021 19+1","5950768","77524","644900","1.3","% of region","12.02108854","% of ethnic group"
"Population by Ethnicity and Local Authority","Census","2021","West Midlands","E12000005","Chinese","ONS 2021 19+1","5950768","33303","445646","0.6","% of region","7.472971821","% of ethnic group"
"Population by Ethnicity and Local Authority","Census","2021","West Midlands","E12000005","Indian","ONS 2021 19+1","5950768","276029","1864304","4.6","% of region","14.80600803","% of ethnic group"
"Population by Ethnicity and Local Authority","Census","2021","West Midlands","E12000005","Pakistani","ONS 2021 19+1","5950768","319167","1587822","5.4","% of region","20.1","% of ethnic group"
"Population by Ethnicity and Local Authority","Census","2021","West Midlands","E12000005","Any Other Asian Background","ONS 2021 19+1","5950768","88245","972783","1.5","% of region","9.07139619","% of ethnic group"
"Population by Ethnicity and Local Authority","Census","2021","West Midlands","E12000005","Asian","ONS 2021 5+1","5950768","794268","5515455","13.3","% of region","14.4","% of ethnic group"
"Population by Ethnicity and Local Authority","Census","2021","West Midlands","E12000005","Black African","ONS 2021 19+1","5950768","146093","1488387","2.5","% of region","9.815525129","% of ethnic group"
"Population by Ethnicity and Local Authority","Census","2021","West Midlands","E12000005","Black Caribbean","ONS 2021 19+1","5950768","90193","623115","1.5","% of region","14.4745352","% of ethnic group"
"Population by Ethnicity and Local Authority","Census","2021","West Midlands","E12000005","Any Other Black Background","ONS 2021 19+1","5950768","32737","297781","0.6","% of region","10.9936497","% of ethnic group"
"Population by Ethnicity and Local Authority","Census","2021","West Midlands","E12000005","Black","ONS 2021 5+1","5950768","269023","2409283","4.5","% of region","11.2","% of ethnic group"
"Population by Ethnicity and Local Authority","Census","2021","West Midlands","E12000005","Mixed White And Asian","ONS 2021 19+1","5950768","46476","488228","0.8","% of region","9.519322939","% of ethnic group"
"Population by Ethnicity and Local Authority","Census","2021","West Midlands","E12000005","Mixed White And Black African","ONS 2021 19+1","5950768","16009","249593","0.3","% of region","6.41404206","% of ethnic group"
"Population by Ethnicity and Local Authority","Census","2021","West Midlands","E12000005","Mixed White And Black Caribbean","ONS 2021 19+1","5950768","81191","513040","1.4","% of region","15.8254717","% of ethnic group"
"Population by Ethnicity and Local Authority","Census","2021","West Midlands","E12000005","Any Other Mixed/Multiple Ethnic Background","ONS 2021 19+1","5950768","34542","467116","0.6","% of region","7.394737067","% of ethnic group"
"Population by Ethnicity and Local Authority","Census","2021","West Midlands","E12000005","Mixed","ONS 2021 5+1","5950768","178218","1717977","3.0","% of region","10.4","% of ethnic group"
"Population by Ethnicity and Local Authority","Census","2021","West Midlands","E12000005","Gypsy Or Irish Traveller","ONS 2021 19+1","5950768","6209","67757","0.1","% of region","9.16362885","% of ethnic group"
"Population by Ethnicity and Local Authority","Census","2021","West Midlands","E12000005","Roma","ONS 2021 19+1","5950768","6807","100964","0.1","% of region","6.742007052","% of ethnic group"
"Population by Ethnicity and Local Authority","Census","2021","West Midlands","E12000005","White","ONS 2021 5+1","5950768","4585030","48699231","77.0","% of region","9.4","% of ethnic group"
"Population by Ethnicity and Local Authority","Census","2021","West Midlands","E12000005","White Irish","ONS 2021 19+1","5950768","47891","507473","0.8","% of region","9.4","% of ethnic group"
"Population by Ethnicity and Local Authority","Census","2021","East of England","E12000006","Any Other White Background","ONS 2021 19+1","6335075","429596","3667993","6.8","% of region","11.7","% of ethnic group"
"Population by Ethnicity and Local Authority","Census","2021","West Midlands","E12000005","Other","ONS 2021 5+1","5950768","124229","1255632","2.1","% of region","9.9","% of ethnic group"
"Population by Ethnicity and Local Authority","Census","2021","West Midlands","E12000005","Arab","ONS 2021 19+1","5950768","31794","331856","0.5","% of region","9.580661492","% of ethnic group"
"Population by Ethnicity and Local Authority","Census","2021","West Midlands","E12000005","Any Other Ethnic Background","ONS 2021 19+1","5950768","92435","923776","1.6","% of region","10.00621363","% of ethnic group"
"Population by Ethnicity and Local Authority","Census","2021","Yorkshire and The Humber","E12000003","All","All","5480783","5480783","59597578","100.0","% of region","9.196318347","% of ethnic group"
"Population by Ethnicity and Local Authority","Census","2021","Yorkshire and The Humber","E12000003","White","ONS 2021 5+1","5480783","4679966","48699231","85.4","% of region","9.6","% of ethnic group"
"Population by Ethnicity and Local Authority","Census","2021","Yorkshire and The Humber","E12000003","Bangladeshi","ONS 2021 19+1","5480783","29019","644900","0.5","% of region","4.499767406","% of ethnic group"
"Population by Ethnicity and Local Authority","Census","2021","Yorkshire and The Humber","E12000003","Chinese","ONS 2021 19+1","5480783","29590","445646","0.5","% of region","6.639799303","% of ethnic group"
"Population by Ethnicity and Local Authority","Census","2021","Yorkshire and The Humber","E12000003","Indian","ONS 2021 19+1","5480783","81322","1864304","1.5","% of region","4.362056832","% of ethnic group"
"Population by Ethnicity and Local Authority","Census","2021","Yorkshire and The Humber","E12000003","Pakistani","ONS 2021 19+1","5480783","296438","1587822","5.4","% of region","18.7","% of ethnic group"
"Population by Ethnicity and Local Authority","Census","2021","Yorkshire and The Humber","E12000003","Any Other Asian Background","ONS 2021 19+1","5480783","50692","972783","0.9","% of region","5.211028564","% of ethnic group"
"Population by Ethnicity and Local Authority","Census","2021","London","E12000007","Asian","ONS 2021 5+1","8799736","1817647","5515455","20.7","% of region","33.0","% of ethnic group"
"Population by Ethnicity and Local Authority","Census","2021","Yorkshire and The Humber","E12000003","Black African","ONS 2021 19+1","5480783","80911","1488387","1.5","% of region","5.436153366","% of ethnic group"
"Population by Ethnicity and Local Authority","Census","2021","Yorkshire and The Humber","E12000003","Black Caribbean","ONS 2021 19+1","5480783","22738","623115","0.4","% of region","3.649085642","% of ethnic group"
"Population by Ethnicity and Local Authority","Census","2021","Yorkshire and The Humber","E12000003","Any Other Black Background","ONS 2021 19+1","5480783","14000","297781","0.3","% of region","4.701441664","% of ethnic group"
"Population by Ethnicity and Local Authority","Census","2021","London","E12000007","Black","ONS 2021 5+1","8799736","1188369","2409283","13.5","% of region","49.3","% of ethnic group"
"Population by Ethnicity and Local Authority","Census","2021","Yorkshire and The Humber","E12000003","Mixed White And Asian","ONS 2021 19+1","5480783","36888","488228","0.7","% of region","7.555486371","% of ethnic group"
"Population by Ethnicity and Local Authority","Census","2021","Yorkshire and The Humber","E12000003","Mixed White And Black African","ONS 2021 19+1","5480783","15642","249593","0.3","% of region","6.26700268","% of ethnic group"
"Population by Ethnicity and Local Authority","Census","2021","Yorkshire and The Humber","E12000003","Mixed White And Black Caribbean","ONS 2021 19+1","5480783","39294","513040","0.7","% of region","7.659051926","% of ethnic group"
"Population by Ethnicity and Local Authority","Census","2021","Yorkshire and The Humber","E12000003","Any Other Mixed/Multiple Ethnic Background","ONS 2021 19+1","5480783","25187","467116","0.5","% of region","5.392022538","% of ethnic group"
"Population by Ethnicity and Local Authority","Census","2021","London","E12000007","Mixed","ONS 2021 5+1","8799736","505776","1717977","5.7","% of region","29.4","% of ethnic group"
"Population by Ethnicity and Local Authority","Census","2021","Yorkshire and The Humber","E12000003","Gypsy Or Irish Traveller","ONS 2021 19+1","5480783","5890","67757","0.1","% of region","8.692828785","% of ethnic group"
"Population by Ethnicity and Local Authority","Census","2021","Yorkshire and The Humber","E12000003","Roma","ONS 2021 19+1","5480783","9465","100964","0.2","% of region","9.37462858","% of ethnic group"
"Population by Ethnicity and Local Authority","Census","2021","Yorkshire and The Humber","E12000003","White British","ONS 2021 19+1","5480783","4431267","44355044","80.9","% of region","9.990446633","% of ethnic group"
"Population by Ethnicity and Local Authority","Census","2021","Yorkshire and The Humber","E12000003","White Irish","ONS 2021 19+1","5480783","25215","507473","0.5","% of region","5.0","% of ethnic group"
"Population by Ethnicity and Local Authority","Census","2021","London","E12000007","Any Other White Background","ONS 2021 19+1","8799736","1290838","3667993","14.7","% of region","35.2","% of ethnic group"
"Population by Ethnicity and Local Authority","Census","2021","Yorkshire and The Humber","E12000003","Other","ONS 2021 5+1","5480783","79096","1255632","1.4","% of region","6.3","% of ethnic group"
"Population by Ethnicity and Local Authority","Census","2021","Yorkshire and The Humber","E12000003","Arab","ONS 2021 19+1","5480783","25474","331856","0.5","% of region","7.676221012","% of ethnic group"
"Population by Ethnicity and Local Authority","Census","2021","Yorkshire and The Humber","E12000003","Any Other Ethnic Background","ONS 2021 19+1","5480783","53622","923776","1.0","% of region","5.804653942","% of ethnic group"
